section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected in reference image,fixation x [px],fixation y [px]
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,107,1636035502384515914,1636035502552495914,167,true,2721,1143
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,108,1636035502584504914,1636035503048533914,464,true,2978,1353
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,109,1636035503076829914,1636035503348491914,271,true,2455,1277
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,110,1636035503388487914,1636035503548479914,159,true,2624,1050
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,111,1636035503604525914,1636035504152479914,547,true,1182,1347
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,112,1636035504228522914,1636035504440514914,211,true,2707,2888
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,113,1636035504520498914,1636035504712553914,192,false,,
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,114,1636035504792595914,1636035505416506914,623,true,3580,1378
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,115,1636035505448487914,1636035506648482914,1199,true,3543,1397
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,116,1636035506728511914,1636035506840515914,112,true,2751,1170
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,117,1636035506873039914,1636035507372501914,499,true,2410,1059
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,118,1636035507408499914,1636035507712512914,304,true,2603,1143
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,119,1636035507756522914,1636035507908536914,152,true,2018,1102
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,120,1636035507948486914,1636035508400515914,452,true,1575,1128
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,121,1636035508452496914,1636035508600531914,148,true,2146,1165
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,122,1636035508644488914,1636035509156504914,512,true,2494,1073
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,123,1636035509184500914,1636035509428552914,244,true,2359,983
